"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"attachables/category/assault_rifle";"Assault rifles";"Fusils d'assaut";"Fucili d'Assalto";"Sturmgewehre";"Rifles de asalto";"Штурмовые винтовки";"Karabiny szturmowe";"Útočné pušky";"Taarruz Tüfekleri";"突\t击\t步\t枪";"アサルトライフル";"Espingardas de Assalto";"Штурмові гвинтівки";"Assault rifles";"Gépkarabélyok";"돌격소총";"Штурмовые винтовки";"Assault rifles";"突\t擊\t步\t槍";"突\t击\t步\t枪";"Súng trường tấn công ";;
"attachables/category/submachine_gun";"Submachine gun";"Pistolet-mitrailleurs";"Mitra";"Maschinenpistole";"Subametralladora";"Пистолеты-пулеметы";"Pistolety maszynowe";"Samopal";"Hafif makineli tüfekler";"冲\t锋\t枪";"サブマシンガン";"Submetralhadora";"Пістолети-кулемети";"Submachine gun";"Géppisztolyok";"기관단총";"Пистолеты-пулеметы";"Submachine gun";"衝\t鋒\t槍";"冲\t锋\t枪";"Súng tiểu liên";;
"attachables/category/hats";"Hats";"Chapeaux";"Cappelli";"Hüte";"Sombreros";"Шляпы";"Nakrycia głowy";"Klobouky";"Şapkalar";"帽\t子";"帽子";"Chapéus";"Капелюхи";"Hats";"Fejfedők";"모자";"Шляпы";"Hats";"帽\t子";"帽\t子";"Nón";;
"attachables/category/shield";"Shields";"Boucliers";"Scudi";"Schilde";"Escudos";"Щиты";"Osłony";"Štíty";"Kalkanlar";"盾\t牌";"シールド";"Escudos";"Щити";"Shields";"Pajzsok";"방패";"Щиты";"Shields";"盾\t牌";"盾\t牌";"Khiên";;
"attachables/category/ammunition";"Ammunition";"Munitions";"Equipaggiamenti";"Ausrüstung";"Municion";"Амуниция";"Amunicja";"Munice";"Mühimmat";"单\t兵\t装\t备";"弾薬";"Equipamentos";"Амуніція";"Ammunition";"Hadifelszerelés";"군장";"Амуниция";"Ammunition";"單\t兵\t裝\t備";"弹\t种";"Đạn dược";;
"attachables/group/hat";"Hat";"Chapeau";"Cappello";"Hut";"Sombrero";"Шляпа";"Kapelusz";"Klobouky";"Şapka";"帽\t子";"帽子";"Chapéu";"Капелюх";"Hat";"Fejfedők";"모자";"Капялюш";"Pălării";"帽\t子";"帽\t子";"Nón";;
"attachables/pirate_skull";"Pirate Skull";"Crâne de Pirate";"Teschio Pirata";"Piratenschädel";"Calavera Pirata";"Пиратский череп";"Czaszka piracka";"Pirátská lebka";"Korsan Kafatası";"海\t盗\t骷\t髅";"パイレーツ・スカル";"Caveira Pirata";"Піратський череп";"Piratska lobanja";"Kalózkoponya";"해적 해골";"Вясёлы Роджэр";"Craniu pirat";"海\t盜\t骷\t髏";"海\t盗\t骷\t髅";"Đầu Lâu Hải Tặc";;
"attachables/cow_skull";"Cow skull";"Vache";"Teschio di Mucca";"Kuhschädel";"Calavera de vaca";"Коровий череп";"Czaszka krowy";"Kraví lebka";"İnek Kafatası";"奶\t牛\t骷\t髅";"牛";"Crânio de vaca";"Череп корови";"Kravlja lobanja";"Tehénkoponya";"소 두개골";"Каровін чэрап";"Craniu vacă";"奶\t牛\t骷\t髏";"奶\t牛";"Đầu lâu bò";;
"attachables/deer_skull";"Deer skull";"Cerf";"Teschio di Cervo";"Hirschschädel";"Calavera de ciervo";"Череп оленя";"Czaszka jelenia";"Jelení lebka";"Geyik Kafatası";"鹿\t骷\t髅";"鹿";"Crânio de veado";"Череп оленя";"Jelenja lobanja";"Szarvaskoponya";"사슴 두개골";"Аленевы чэрап";"Craniu cerb";"鹿\t骷\t髏";"鹿";"Đầu lâu hươu";;
"attachables/goat_skull";"Goat skull";"Chèvre";"Teschio di Capra";"Ziegenschädel";"Calavera de cabra";"Козлиный череп";"Czaszka kozy";"Kozí lebka";"Keçi Kafatası";"山\t羊\t骷\t髅";"山羊";"Crânio de cabra";"Череп барана";"Kozja lobanja";"Kecskekoponya";"염소 두개골";"Казліны чэрап";"Craniu capră";"山\t羊\t骷\t髏";"山\t羊";"Đầu lâu dê";;
"attachables/road_sign_achtung_panzer";"""Attention, Tank!""";"""Attention, Tank!""";"""Attenzione, Carro!""";"""Achtung, Panzer!""";"""¡Atención, Tanque!""";"""Внимание, Танк!""";"„Uwaga, czołg”";"Značka ""Pozor, Tank!""";"''Dikkat, Tank''";"“小\t心，\t坦\t克！”";"「戦車に\t注意！」";"""Atenção, tanque!""";"""Увага, танк!""";"""Pažnja, Tenk!""";"„Vigyázat, páncélosok!”";"""전차 주의!""";"«Увага, танкі!»";"„Atenție, tanc!”";"“小\t心，\t坦\t克！”";"“小\t心，\t坦\t克！”";"""Chú ý, Xe tăng!""";;
"attachables/road_sign_arrow";"""Ahead Only""";"""Sens Unique""";"""Solo Avanti""";"""Nur Geradeaus""";"""Sólo Adelante""";"""Движение прямо""";"„Nakaz jazdy prosto”";"Značka ""Přikázaný směr jízdy""";"""Sadece İleri""";"“直\t行”";"「直進」";"""Apenas em frente""";"""Тільки вперед""";"""Samo Napred""";"„Kötelező haladási irány”";"""일방통행""";"«Рух прама»";"„Doar înainte”";"“直\t行”";"“直\t行”";"""Chỉ tiến về trước""";;
"attachables/road_sign_no_crossing";"""No Pedestrians""";"""Piétons interdits""";"""Niente Pedoni""";"""Keine Fußgänger""";"""Peatones Prohibidos""";"""Движение пешеходов запрещено""";"„Zakaz ruchu pieszych”";"Značka ""Zákaz vstupu chodců""";"""Yayalar Giremez""";"“禁\t止\t行\t人\t通\t行”";"「歩行者通行止め」";"""Transito proibido a peões""";"""Рух пішоходів заборонено""";"""Zabranjeno za pešake""";"„Gyalogosok számára tilos!”";"""보행 금지""";"«Рух пешаходаў забаронены»";"„Interzis pietoni”";"“禁\t止\t行\t人\t通\t行”";"“禁\t止\t行\t人\t通\t行”";"""Cấm Người Đi Bộ""";;
"attachables/road_sign_no_entry";"""No Entry""";"""Entrée Interdite""";"""Divieto D'accesso""";"""Kein Durchgang""";"""No Entrar""";"""Въезд запрещён""";"„Zakaz wjazdu”";"Značka ""Jednosměrný provoz""";"""Girilmez""";"“禁\t止\t进\t入”";"「進入禁止」";"""Entrada proibida""";"""В'їзд заборонено""";"""Zabranjen ulaz""";"„Belépni tilos!”";"""통행 금지""";"«Уезд забаронены»";"„Intrare interzisă”";"“禁\t止\t進\t入”";"“禁\t止\t进\t入”";"""Cấm Vào""";;
"attachables/road_sign_no_smoking";"""No Smoking""";"""Interdiction de fumer""";"""Vietato Fumare""";"""Rauchen verboten""";"""No Fumar""";"""Запрет курения""";"„Zakaz palenia”";"Značka ""Zákaz kouření""";"""Sigara İçilmez""";"“禁\t止\t吸\t烟”";"「禁煙」";"""Proibido fumar""";"""Не палити""";"""Zabranjeno pušenje""";"„Tilos a dohányzás!”";"""금연""";"«Курыць забаронена»";"„Fumatul interzis”";"“禁\t止\t吸\t煙”";"“禁\t止\t吸\t烟”";"""Cấm Hút Thuốc""";;
"attachables/road_sign_speed_limit_10";"""Speed Limit 10""";"""Vitesse maximale 10""";"""10 Km/h""";"""Tempolimit 10""";"""Límite de Velocidad 10""";"""Ограничение максимальной скорости 10""";"„Ograniczenie prędkości do 10”";"Značka ""Maximální rychlost 10""";"""Hız Limiti 10""";"“限\t速 10”";"「速度制限 10km/h」";"""Limite de velocidade 10""";"""Обмеження максимальної швидкості 10""";"""Dozvoljena brzina 10""";"„10-es sebességkorlátozás”";"""제한속도 10""";"«Абмежаванне максімальнай хуткасці 10 км/гадз»";"„Limită de viteză 10”";"“限\t速 10”";"“限\t速 10”";"""Giới Hạn Tốc Độ 10""";;
"attachables/road_sign_speed_limit_60";"""Speed Limit 60""";"""Vitesse maximale 60""";"""60 Km/h""";"""Tempolimit 60""";"""Límite de Velocidad 60""";"""Ограничение максимальной скорости 60""";"„Ograniczenie prędkości do 60”";"Značka ""Maximální rychlost 60""";"""Hız Limiti 60""";"“限\t速 60”";"「速度制限 60km/h」";"""Limite de velocidade 60""";"""Обмеження максимальної швидкості 60""";"""Dozvoljena brzina 60""";"„60-as sebességkorlátozás”";"""제한속도 60""";"«Абмежаванне максімальнай хуткасці 60 км/гадз»";"„Limită de viteză 60”";"“限\t速 60”";"“限\t速 60”";"""Giới Hạn Tốc Độ 60""";;
"attachables/road_sign_stop";"""Stop and give way""";"""Stop et cédez le passage""";"""Stop""";"""Stop""";"""Ceda el Paso""";"""Движение без остановки запрещено""";"„Stop”";"Značka ""Stůj, dej přednost v jízdě""";"""Dur ve yol ver.""";"“停\t车\t让\t行”";"「停止し\t道を\t譲る」";"""Parar e ceder passagem""";"""Проїзд без зупинки заборонено""";"""Stani i propusti""";"„Állj! Elsőbbségadás kötelező!”";"""정지""";"«Рух без спынення забаронены»";"„Oprește și acordă prioritate”";"“停\t車\t讓\t行”";"“停\t车\t让\t行”";"""Dừng và nhường đường""";;
"attachables/german_cross";"Iron Cross";"Croix de fer";"Croce di Ferro";"Eisernes Kreuz";"Cruz de Hierro";"Железный крест";"Krzyż Żelazny";"Železný kříž";"Demir Haç";"铁\t十\t字";"鉄十字";"Cruz de ferro";"Залізний хрест";"Gvozdeni Krst";"Vaskereszt";"철십자";"Жалезны крыж";"Cruce de fier";"鐵\t十\t字";"铁\t十\t字";"Chữ Thập Sắt";;
"attachables/star_alliance";"White Star";"Étoile Blanche";"Stella Bianca";"Weißer Stern";"Estrella Blanca";"Белая звезда";"Biała Gwiazda";"Bílá hvězda";"Beyaz Yıldız";"白\t五\t星";"白い\t星";"Estrela branca";"Біла зірка";"Bela Zvezda";"Fehér csillag";"하얀 별";"Белая зорка";"Stea albă";"白\t五\t星";"白\t五\t星";"Ngôi sao trắng";;
"attachables/star_soviet";"Red Star";"Étoile Rouge";"Stella Rossa";"Roter Stern";"Estrella Roja";"Красная звезда";"Czerwona Gwiazda";"Rudá hvězda";"Kızıl Yıldız";"红\t五\t星";"赤い\t星";"Estrela vermelha";"Червона зірка";"Crvena Zvezda";"Vörös csillag";"붉은 별";"Чырвоная зорка";"Stea roșie";"红\t五\t星";"红\t五\t星";"Ngôi sao đỏ";;
"attachables/shop_sign_bar";"""Bar"" Sign";"Panneau ""Bar""";"Insegna ""Bar""";"""Bar""-Zeichen";"Señal ""Bar""";"Знак ""Бар""";"Znak „Bar”";"Cedule ""BAR""";"""Çubuk"" İşareti";"“酒\t吧”";"「酒場」\tの\t看板";"Sinal ""Bar""";"Знак ""Бар""";"""Bar"" Oznaka";"Bártábla";"""바"" 간판";"Знак «Бар»";"Semn „Bar”";"“酒\t吧”";"“酒\t吧”";"Biển hiệu ""Bar""";;
"attachables/lifebuoy";"Lifebuoy";"Bouée de sauvetage";"Salvagente";"Rettungsring";"Salvavidas";"Спасательный круг";"Koło ratunkowe";"Záchranný kruh";"Can Simidi";"救\t生\t圈";"救命浮環";"Salva-vidas";"Рятівний круг";"Pojas za spasavanje";"Mentőöv";"구명부환";"Выратавальны круг";"Colac de salvare";"救\t生\t圈";"救\t生\t圈";"Phao cứu sinh";;
"attachables/mg_ppsh";"PPSh-41";"PPSh-41";"PPSh-41";"PPSh-41";"PPSh-41";"ППШ обр. 1941";"PPSz-41";"PPŠ-41";"PPSh-41";"PPSh-41 冲\t锋\t枪";"PPSh-41";"PPSh-41";"ППШ зраз. 1941";"PPSh-41";"PPS-41";"PPSh-41";"ПКШ узору 1941 г.";"PPSh-41";"PPSh-41 衝\t鋒\t槍";"“波\t波\t沙”\t冲\t锋\t枪";"PPSh-41";;
"attachables/mickey_ear_black";"Mouse Ear";"Oreilles de souris";"Orecchie di Topolino";"Maus-Ohren";"Oreja de Ratón";"Ухо Мыши";"Ucho Myszki Miki";"Myší ucho";"Fare kulağı";"米\t老\t鼠\t耳\t朵";"ミッキーの\t耳";"Orelha de rato";"Вухо миші";"Mišje uho";"Egérfül";"쥐의 귀";"Вушы Мікі-Маўса";"Ureche de șoarece";"米\t老\t鼠\t耳\t朵";"米\t老\t鼠\t耳\t朵";"Tai Chuột";;
"attachables/bush_big";"Bunch of Branches, big (foliage tree)";"Gros buisson (feuilles d'arbre), 6 pcs";"Cespuglio, grande (fogliame)";"Bündel Zweige, groß (Laubbaum), 6 Stk";"Montón de Ramas, grande (follaje de árbol)";"Связка веток большая (лиственное дерево)";"Wiązka gałęzi, duża (drzewa liściaste)";"Hromada listnatých větví";"Büyük Dal Demeti (yeşillik ağaç)";"普\t通\t绿\t色\t植\t物\t树\t叶，\t团\t状\t（大\t尺\t寸）";"大きな\t緑色植物の\t束 (6個)";"Monte de Ramos, grande (folhagem de árvore)";"Велика зв’язка гілок (листяне дерево)";"Gomila grana, velika (drvo s lišćem), 6 kom";"Nagy lombcsokor";"큰 활엽수 가지 뭉치";"Вязанка галін вялікая (ліставое дрэва) 6 шт.";"Grămadă de tufe, mare (frunze de copac)";"普\t通\t綠\t色\t植\t物\t樹\t葉，\t團\t狀\t（大\t尺\t寸）";"普\t通\t绿\t色\t植\t物\t树\t叶，\t团\t状\t（大\t尺\t寸，\t6 份）";"Một đống cành, to (cây tán lá)";;
"attachables/bush_small";"Bunch of Branches (foliage tree)";"Buisson (feuilles d'arbre), 6 pcs";"Cespuglio, (fogliame)";"Bündel Zweige (Laubbaum), 6 Stk";"Montón de Ramas (follaje de árbol)";"Связка веток (лиственное дерево)";"Wiązka gałęzi (drzewa liściaste)";"Kupa listnatých větví";"Dal Demeti (yeşillik ağaç)";"普\t通\t绿\t色\t植\t物\t树\t叶，\t团\t状";"緑色植物の\t束 (6個)";"Monte de Ramos, (folhagem de árvore)";"Зв’язка гілок (листяне дерево)";"Gomila grana (drvo s lišćem), 6 kom";"Lombcsokor";"활엽수 가지 뭉치";"Вязанка галін (ліставое дрэва) 6 шт.";"Grămadă de tufe (frunze de copac)";"普\t通\t綠\t色\t植\t物\t樹\t葉，\t團\t狀";"普\t通\t绿\t色\t植\t物\t树\t叶，\t团\t状\t（6 份）";"Một đống cành (cây tán lá)";;
"attachables/bush_long";"Armful of Branches (foliage tree)";"Branchage (feuilles d'arbre), 6 pcs";"Rami (fogliame)";"Armvoll Zweige (Laubbaum), 6 Stk";"Manojo de Ramas (follaje de árbol)";"Охапка веток (лиственное дерево)";"Naręcze gałęzi (drzewa liściaste)";"Náruč listnatých větví";"Kucak Dolusu Dal (yeşillik ağaç)";"普\t通\t绿\t色\t植\t物\t树\t叶，\t束\t状";"ひと\t抱えの\t緑色植物 (6個)";"Braçada de Ramos, (folhagem de árvore)";"Оберемок гілок (листяне дерево)";"Šaka grana (drvo s lišćem), 6 kom";"Lombköteg";"활엽수 가지 아름";"Ахапак галін (ліставое дрэва) 6 шт.";"Câteva tufe (frunze de copac)";"普\t通\t綠\t色\t植\t物\t樹\t葉，\t束\t狀";"普\t通\t绿\t色\t植\t物\t树\t叶，\t束\t状\t（6 份）";"Một mớ cành (cây tán lá)";;
"attachables/palm";"Bunch of Palm Leaves, big";"Feuilles de palmier (large), 6 pcs";"Palme, grande";"Bündel Palmenblätter, groß, 6 Stk";"Montón de Hojas de Palma, grande";"Связка пальмовых листьев большая";"Wiązka liści palmowych, duża";"Kupa palmových listů";"Büyük Palmiye Yaprakları Demeti";"热\t带\t棕\t榈\t树\t叶，\t团\t状\t（大\t尺\t寸）";"大きな\tシェロの\t葉の\t束 (6個)";"Monte de Folhas de Palmeira, grande";"Велика зв’язка пальмового листя";"Gomila palminog lišća, velika, 6 kom";"Nagy pálmalevélcsokor";"큰 야자수잎 뭉치";"Вязанка пальмавых лістоў вялікая 6 шт.";"Grămadă frunze de palmier, mare";"熱\t帶\t棕\t櫚\t樹\t葉，\t團\t狀\t（大\t尺\t寸）";"热\t带\t棕\t榈\t树\t叶，\t团\t状\t（大\t尺\t寸，\t6 份）";"Một đống lá cọ, to";;
"attachables/palm_long";"Armful of Palm Leaves";"Feuilles de palmier (long), 6 pcs";"Palme";"Armvoll Palmenblätter, 6 Stk";"Manojo de Hojas de Palma";"Охапка пальмовых листьев";"Naręcze liści palmowych";"Náruč palmových listů";"Kucak Dolusu Palmiye Yaprakları";"热\t带\t棕\t榈\t树\t叶，\t束\t状";"ひと\t抱えの\tシュロの\t葉 (6個)";"Braçada de Folhas de Palmeira";"Оберемок пальмового листя";"Šaka palminog lišća, 6 kom";"Pálmalevélköteg";"야자수잎 아름";"Ахапак пальмавых лістоў 6 шт.";"Câteva frunze de palmier";"熱\t帶\t棕\t櫚\t樹\t葉，\t束\t狀";"热\t带\t棕\t榈\t树\t叶，\t束\t状\t（6 份）";"Một mớ lá cọ";;
"attachables/fir";"Armful of Fir Branches";"Branches de sapin (large), 6 pcs";"Rami di abete";"Armvoll Tannenzweige, 6 Stk";"Manojo de Ramas de Abeto";"Охапка еловых веток";"Naręcze gałęzi jodłowych";"Kupa jedlových větví";"Kucak Dolusu Köknar Dalları";"冷\t杉\t树\t叶，\t团\t状";"ひと\t抱えの\tモミの\t枝 (6個)";"Braçada de Ramos de Abeto";"Оберемок ялинкових гілок";"Šaka jelinih grana, 6 kom";"Fenyőlombköteg";"전나무 가지 아름";"Ахапак яловых галін 6 шт.";"Câteva ramuri de brad";"冷\t杉\t樹\t葉，\t團\t狀";"冷\t杉\t树\t叶，\t团\t状\t（6 份）";"Một mớ cành thông";;
"attachables/fir_long";"Bunch of Fir Branches";"Branches de sapin (long), 6 pcs";"Rami di abete";"Bündel Tannenzweige, 6 Stk";"Montón de Ramas de Abeto";"Связка еловых веток";"Wiązka gałęzi jodłowych";"Kupa jedlových větví";"Köknar Dalları Demeti";"冷\t杉\t树\t叶，\t束\t状";"モミの\t枝の\t束 (6個)";"Monte de Ramos de Abeto";"Зв’язка ялинкових гілок";"Gomila jelinih grana, 6 kom";"Fenyőlombcsokor";"전나무 가지 뭉치";"Вязанка яловых галін 6 шт.";"Grămadă ramuri de brad";"冷\t杉\t樹\t葉，\t束\t狀";"冷\t杉\t树\t叶，\t束\t状\t（6 份）";"Một đống cành thông";;
"attachables/jerrycan";"Jerrycan";"Jerrican, 6 pcs";"Tanica";"Kanister, 6 Stk";"Bidón";"Канистра";"Kanister";"Kanystr";"Bidon";"油\t桶";"ジェリカン (6個)";"Galão";"Каністра";"Kantica za gorivo, 6 kom";"Marmonkanna";"기름통";"Каністра 6 шт.";"Canistră";"油\t桶";"油\t桶\t（6 份）";"Can xăng";;
"attachables/gazmask";"Gas Mask";"Masque à gaz, 2 pcs";"Maschera Antigas";"Gasmaske, 2 Stk";"Máscara de Gas";"Противогаз";"Maska przeciwgazowa";"Plynová maska";"Gaz Maskesi";"防\t毒\t面\t具";"ガスマスク (2個)";"Máscara de gás";"Протигаз";"Gas maska, 2 kom";"Gázmaszk";"방독면";"Процівагаз 2 шт.";"Mască de gaz";"防\t毒\t面\t具";"防\t毒\t面\t具\t（2 份）";"Mặt nạ phòng độc";;
"attachables/uk_tank_helmet";"Tank Helmet (UK)";"Casque de tankiste (UK), 2 pcs";"Elmetto Carrista (GB)";"Panzerhelm (UK), 2 Stk";"Casco de Tanquista (Reino Unido)";"Танковый шлем (Британия)";"Hełm czołgisty (Wielka Brytania)";"Britská tanková přilba";"Tank Miğferi (BK)";"英\t国\t装\t甲\t兵\t头\t盔";"イギリス\t戦車兵の\tヘルメット (2個)";"Capacete de tanque (RU)";"Танковий шолом (Британія)";"Tenkovski šlem (UK), 2 kom";"Brit harckocsizó sisak";"영국 전차병 철모";"Танкавы шлем (Вялікабрытанія) 2 шт.";"Cască tanchist (UK)";"英\t國\t裝\t甲\t兵\t頭\t盔";"英\t式\t装\t甲\t兵\t头\t盔\t（2 份）";"Nón kíp lái (UK)";;
"thunder_league_skull_gold/name";"Pirate Skull";"Crâne de pirate";"Teschio Pirata";"Piratenschädel";"Calavera Pirata";"Пиратский череп";"Czaszka piracka";"Pirátská lebka";"Korsan Kafatası";"海\t盗\t骷\t髅";"パイレーツ・スカル";"Caveira Pirata";"Піратський череп";"Piratska lobanja";"Kalózkoponya";"해적 해골";"Вясёлы Роджэр";"Craniu pirat";"海\t盜\t骷\t髏";"海\t盗\t骷\t髅";"Đầu Lâu Hải Tặc";;
"jerrycan/name";"Jerrycan";"Jerrycan";"Tanica";"Kanister";"Bidón";"Канистра";"Kanister";"Kanystr";"Bidon";"油\t桶";"ジェリカン";"Galão";"Каністра";"Kantica za gorivo";"Marmonkanna";"기름통";"Каністра";"Canistră";"油\t桶";"油\t桶";"Can xăng";;
"gazmask/name";"Gas Mask";"Masque à gaz";"Maschera Antigas";"Gasmaske";"Máscara de Gas";"Противогаз";"Maska przeciwgazowa";"Plynová maska";"Gaz Maskesi";"防\t毒\t面\t具";"ガスマスク";"Máscara de gás";"Протигаз";"Gas maska";"Gázmaszk";"방독면";"Процівагаз";"Mască de gaz";"防\t毒\t面\t具";"防\t毒\t面\t具";"Mặt nạ phòng độc";;
"uk_early_helmet/name";"Steel Helmet (UK)";"Casque en métal (UK)";"Elmetto (GB)";"Stahlhelm (UK)";"Casco de Acero (GB)";"Пехотная каска (Британия)";"Hełm stalowy (Wielka Brytania)";"Britská ocelová přilba";"Çelik Miğfer (EN)";"英\t国\t钢\t制\t头\t盔";"イギリス\t軍の\tスチールヘルメット";"Capacete de aço (RU)";"Піхотна каска (Британія)";"Čelični šlem (UK)";"Brit acélsisak";"영국군 철모";"Пяхотная каска (Вялікабрытанія)";"Cască de oțel (UK)";"英\t國\t鋼\t製\t頭\t盔";"英\t式\t钢\t制\t头\t盔";"Nón thép (UK)";;
"uk_tank_helmet/name";"Tank Helmet";"Casque de tankiste (UK)";"Elmetto Carrista";"Panzerhelm";"Casco de Tanquista";"Танковый шлем";"Hełm czołgisty";"Britská tanková přilba";"Tank Miğferi";"英\t国\t装\t甲\t兵\t头\t盔";"イギリス\t戦車兵の\tヘルメット";"Capacete de Tanque";"Танковий шолом";"Tekovski šlem";"Harckocsizó sisak";"전차병 철모";"Танкавы шлем";"Cască tanchist";"英\t國\t裝\t甲\t兵\t頭\t盔";"英\t式\t装\t甲\t兵\t头\t盔";"Nón kíp lái";;
"german_tank_helmet/name";"Steel Helmet (Germany)";"Casque en métal (Allemagne)";"Elmetto (Germania)";"Stahlhelm (Deutschland)";"Casco de Acero (Alemania)";"Пехотная каска (Германия)";"Hełm stalowy (Niemcy)";"Německá ocelová přilba";"Çelik Miğfer (Almanya)";"德\t国\t钢\t制\t头\t盔";"ドイツ\t戦車兵の\tヘルメット";"Capacete de aço (Alemanha)";"Піхотна каска (Німеччина)";"Čelični šlem (Nemačka)";"Német acélsisak";"독일군 철모";"Пяхотная каска (Нямеччына)";"Cască de oțel (Germania)";"德\t國\t鋼\t製\t頭\t盔";"德\t式\t钢\t制\t头\t盔";"Nón thép (Đức)";;
"ussr_tank_helmet/name";"Steel Helmet (USSR)";"Casque en métal (URSS)";"Elmetto (URSS)";"Stahlhelm (UdSSR)";"Casco de Acero (URSS)";"Пехотная каска (СССР)";"Hełm stalowy (ZSRR)";"Sovětská ocelová přilba";"Çelik Miğfer (SSCB)";"苏\t联\t钢\t制\t头\t盔";"ソ\t連軍の\tスチールヘルメット";"Capacete de aço (URSS)";"Піхотна каска (СРСР)";"Čelični šlem (Sovjetski Savez)";"Szovjet acélsisak";"소련군 철모";"Пяхотная каска (СССР)";"Cască de oțel (URSS)";"蘇\t聯\t鋼\t製\t頭\t盔";"苏\t式\t钢\t制\t头\t盔";"Nón thép (USSR)";;
